Gss year for this respondent                       ,Political party affiliation,Sci knowledge: the earth goes around the sun
1980,"Ind,near rep",Not applicable
1980,Strong democrat,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near rep",Not applicable
1980,Independent,Not applicable
1980,Not str democrat,Not applicable
1980,Strong democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,Not str republican,Not applicable
1980,Strong democrat,Not applicable
1980,Independent,Not applicable
1980,Independent,Not applicable
1980,Strong democrat,Not applicable
1980,Strong democrat,Not applicable
1980,Strong republican,Not applicable
1980,"Ind,near dem",Not applicable
1980,Independent,Not applicable
1980,Independent,Not applicable
1980,Not str democrat,Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,Strong democrat,Not applicable
1980,"Ind,near rep",Not applicable
1980,Strong democrat,Not applicable
1980,Independent,Not applicable
1980,Independent,Not applicable
1980,Independent,Not applicable
1980,"Ind,near dem",Not applicable
1980,Independent,Not applicable
1980,Independent,Not applicable
1980,Strong democrat,Not applicable
1980,"Ind,near rep",Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,Independent,Not applicable
1980,Strong republican,Not applicable
1980,Strong democrat,Not applicable
1980,Strong republican,Not applicable
1980,Strong democrat,Not applicable
1980,Strong republican,Not applicable
1980,Strong republican,Not applicable
1980,Not str democrat,Not applicable
1980,Strong democrat,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near rep",Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,Not str republican,Not applicable
1980,Not str republican,Not applicable
1980,Strong republican,Not applicable
1980,Strong republican,Not applicable
1980,"Ind,near dem",Not applicable
1980,Independent,Not applicable
1980,Independent,Not applicable
1980,Strong democrat,Not applicable
1980,Strong republican,Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,Not str republican,Not applicable
1980,Not str republican,Not applicable
1980,Independent,Not applicable
1980,Not str republican,Not applicable
1980,Strong democrat,Not applicable
1980,Not str republican,Not applicable
1980,Not str republican,Not applicable
1980,Strong republican,Not applicable
1980,Strong republican,Not applicable
1980,Strong republican,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Strong democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,"Ind,near rep",Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Not str republican,Not applicable
1980,"Ind,near rep",Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Strong democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Strong republican,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,"Ind,near dem",Not applicable
1980,Strong republican,Not applicable
1980,Other party,Not applicable
1980,Strong democrat,Not applicable
1980,Strong democrat,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near rep",Not applicable
1980,Independent,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near rep",Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,"Ind,near rep",Not applicable
1980,Not str democrat,Not applicable
1980,Independent,Not applicable
1980,Not str republican,Not applicable
1980,Strong democrat,Not applicable
1980,Strong democrat,Not applicable
1980,"Ind,near rep",Not applicable
1980,Strong democrat,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,Strong democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Independent,Not applicable
1980,Strong democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,Not str democrat,Not applicable
1980,Strong republican,Not applicable
1980,Not str republican,Not applicable
1980,Not str republican,Not applicable
1980,"Ind,near dem",Not applicable
1980,"Ind,near dem",Not applicable
1980,Independent,Not applicable
1980,"Ind,near rep",Not applicable
1980,Strong republican,Not applicable
1980,"Ind,near rep",Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Independent,Not applicable
1980,"Ind,near rep",Not applicable
1980,Strong democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Independent,Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,Strong republican,Not applicable
1980,Independent,Not applicable
1980,Independent,Not applicable
1980,Not str republican,Not applicable
1980,Not str republican,Not applicable
1980,"Ind,near rep",Not applicable
1980,"Ind,near dem",Not applicable
1980,Strong republican,Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Not str republican,Not applicable
1980,"Ind,near rep",Not applicable
1980,Strong democrat,Not applicable
1980,Other party,Not applicable
1980,Not str republican,Not applicable
1980,Strong republican,Not applicable
1980,Strong republican,Not applicable
1980,Strong republican,Not applicable
1980,Strong democrat,Not applicable
1980,Independent,Not applicable
1980,Not str republican,Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,"Ind,near dem",Not applicable
1980,Strong republican,Not applicable
1980,Not str republican,Not applicable
1980,Not str republican,Not applicable
1980,Strong democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Strong republican,Not applicable
1980,Independent,Not applicable
1980,Not str democrat,Not applicable
1980,Independent,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,Not str democrat,Not applicable
1980,Independent,Not applicable
1980,Not str democrat,Not applicable
1980,Strong republican,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Independent,Not applicable
1980,"Ind,near dem",Not applicable
1980,Not str republican,Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Strong democrat,Not applicable
1980,Independent,Not applicable
1980,Not str democrat,Not applicable
1980,Strong democrat,Not applicable
1980,Strong republican,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near rep",Not applicable
1980,Independent,Not applicable
1980,Strong democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,"Ind,near dem",Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Independent,Not applicable
1980,Strong republican,Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,Independent,Not applicable
1980,"Ind,near rep",Not applicable
1980,Strong republican,Not applicable
1980,Strong democrat,Not applicable
1980,Strong democrat,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near rep",Not applicable
1980,Strong democrat,Not applicable
1980,Strong republican,Not applicable
1980,Strong republican,Not applicable
1980,"Ind,near rep",Not applicable
1980,"Ind,near dem",Not applicable
1980,"Ind,near rep",Not applicable
1980,Not str democrat,Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,Strong democrat,Not applicable
1980,Independent,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,Independent,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near rep",Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,"Ind,near dem",Not applicable
1980,Strong republican,Not applicable
1980,Independent,Not applicable
1980,Strong democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,Independent,Not applicable
1980,Not str republican,Not applicable
1980,Strong republican,Not applicable
1980,Other party,Not applicable
1980,Not str republican,Not applicable
1980,Independent,Not applicable
1980,Not str republican,Not applicable
1980,"Ind,near dem",Not applicable
1980,Not str democrat,Not applicable
1980,Strong republican,Not applicable
1980,"Ind,near dem",Not applicable
1980,"Ind,near dem",Not applicable
1980,"Ind,near dem",Not applicable
1980,Not str democrat,Not applicable
1980,Independent,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,Not str republican,Not applicable
1980,Independent,Not applicable
1980,Independent,Not applicable
1980,Independent,Not applicable
1980,"Ind,near rep",Not applicable
1980,"Ind,near dem",Not applicable
1980,Not str republican,Not applicable
1980,Independent,Not applicable
1980,Not str democrat,Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near rep",Not applicable
1980,Strong democrat,Not applicable
1980,Independent,Not applicable
1980,Strong democrat,Not applicable
1980,Strong democrat,Not applicable
1980,Strong democrat,Not applicable
1980,Strong democrat,Not applicable
1980,Strong republican,Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Strong democrat,Not applicable
1980,Independent,Not applicable
1980,Independent,Not applicable
1980,Strong republican,Not applicable
1980,Not str democrat,Not applicable
1980,Strong democrat,Not applicable
1980,Strong republican,Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near rep",Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,Independent,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,Not str republican,Not applicable
1980,No answer,Not applicable
1980,"Ind,near dem",Not applicable
1980,Strong democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Strong democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Independent,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,Independent,Not applicable
1980,"Ind,near rep",Not applicable
1980,Not str republican,Not applicable
1980,Not str democrat,Not applicable
1980,Not str democrat,Not applicable
1980,"Ind,near dem",Not applicable
1980,"Ind,near dem",Not applicable
1980,Independent,Not applicable
1980,Strong republican,Not applicable
1980,"Ind,near dem",Not applicable
1980,Independent,Not applicable
1980,Strong democrat,Not applicable
1980,"Ind,near rep",Not applicable
